title	type	url_slug	venue	date	location	talk_url	description
On the determination of shear strength from tensile tests of ±45° fiber reinforced polymer laminates	Conference proceedings presentation	ECCS21	21st European Conference on Composie Materials for Academic and Industry	07/02/2024	"Nantes, France"	https://eccm21.org	"Authors: Maria Gfrerrer, Vasco D.C. Pires, A.J. Brunner, C. Schuecker, G. Pinter"
3D printing solutions to fight COVID-19	Poster	EUGLOH	EUGLOH Annual Student Research Conference	28/09/2020		https://www.eugloh.eu/events/eugloh-annual-student-research-conference	"Authors: Vasco D.C Pires, Cristina Ferreira, José Silva, Ana Pais, Jorge Lino, Jorge Belinha"
3D-Printing to Fight COVID-19	Conference proceedings presentation	engBrasil2020	engBRASIL2020 - lst Brazilian Engineering Congress of the PDIMat Network	03/11/2020		https://www.redepdimat.org/engbrasil2020	"Authors: Vasco D.C Pires, Ana Pais, Cristina Ferreira, José Silva, Jorge Lino, Jorge Belinha"
Desenvolvimento de Dispositivos Impressos em 3D (FFF) para Prevenir a Propagação de COVID-19	Conference proceedings presentation	SPB	9º Congresso Nacional De Biomecânica	19/02/2021	"Porto, Portugal"	https://cnbio2021.wixsite.com/cnb2021	"Authors: Ana Pais, Vasco D.C Pires, Cristina Ferreira, José Silva, Jorge Lino, Jorge Belinha"
M5 - Mars Magnetospheric Multipoint Measurement Mission: A multi-spacecraft plasma physics mission to Mars	Talk	M5AG2022	Annual Meeting of the German Astronomical Society 2022	12/09/2022	"Bremen, Germany"	https://ag2022.astronomische-gesellschaft.de/view_abstract.php?id=116	"Authors: M5 Team - Cormac Larkin, Leonard Schulz, Vile Ludén, Markus Baumgartner-Steinleitner, Marianne Brekkum, Adam Cegla, Pietro Dazzi, Alessia De Iuliis, Jonas Gesch, Sofia Lennerstrand, Sara Nesbit-Östman, Vasco D.C Pires, Inés Terraza Palanca, Daniel Teubenbacher, Florine Enengl, Marcus Hallmann"
M5 - A multi-spacecraft plasma physics misson to Mars	Poster	M5Finland	Winter Satellite Workshop 2024	17/01/2024	"Alto, Finland"	https://spaceworkshop.fi	"Authors: M5 Team - Vile Ludén, Cormac Larkin, Leonard Schulz,  Markus Baumgartner-Steinleitner, Marianne Brekkum, Adam Cegla, Pietro Dazzi, Alessia De Iuliis, Jonas Gesch, Sofia Lennerstrand, Sara Nesbit-Östman, Vasco D.C Pires, Inés Terraza Palanca, Daniel Teubenbacher, Florine Enengl, Marcus Hallmann"
Enhancing Joint Performance with Residual Stresses: An Optimization Study on Adhesively Bonded Joints using Dissimilar Joints	Poster	IJUP2023	IJUP 2023 – Youth Research of the University of Porto	10/05/2023	"Porto, Portugal"	https://www.up.pt/ijup/ijup-2023/	"Authors: Vasco D.C Pires, Ricardo J.C Carbas, Eduardo A. S. Marques, Lucas F. M. da Silva "
3D printed devices for avoiding hand contact with shared surfaces	10 	1	2	2	2	2	2
MVSE Mission Phase A/0 Study: A Proposal for Understanding the Dynamics of Induced Magnetospheres	1	2	3	2	2	2	2
Optimization of dissimilar single-lap joints bonding multimaterial adherends in quasi-static conditions with thermal residual stresses	2	2	2	2	2	2	2
Influence of bent adherends in single-lap joint performance	2	2	2	2	2	2	2
Influence of strain-rate in single-lap joints bonding different adherends with thermal residual stresses	2	2	2	2	2	2	2
The study of residual thermal stresses on the performance of hybrid composite single lap joint	2	2	2	2	2	2	2
The influence of bent adherends on adhesively joints strength performance	2	2	2	2	2	2	2
2	2	2	2	2	2	2	2
Adicionar os que faltam (notion) e preencher o resto
